secid,date,days,volatility,ticker,index_flag
107525,20130422,365,0.200991,MSFT,0
107525,20130422,547,0.207823,MSFT,0
107525,20130422,730,0.224039,MSFT,0
107525,20130422,1825,0.315812,MSFT,0
107525,20130423,10,0.290058,MSFT,0
107525,20130423,14,0.374778,MSFT,0
107525,20130423,30,0.282393,MSFT,0
107525,20130423,60,0.214614,MSFT,0
107525,20130423,91,0.19358,MSFT,0
107525,20130423,122,0.194131,MSFT,0
107525,20130423,152,0.194477,MSFT,0
107525,20130423,182,0.201539,MSFT,0
107525,20130423,273,0.189964,MSFT,0
107525,20130423,365,0.200915,MSFT,0
107525,20130423,547,0.207925,MSFT,0
107525,20130423,730,0.223887,MSFT,0
107525,20130423,1825,0.315792,MSFT,0
107525,20130424,10,0.312563,MSFT,0
107525,20130424,14,0.402313,MSFT,0
107525,20130424,30,0.303658,MSFT,0
107525,20130424,60,0.228507,MSFT,0
107525,20130424,91,0.203935,MSFT,0
107525,20130424,122,0.202768,MSFT,0
107525,20130424,152,0.198279,MSFT,0
107525,20130424,182,0.208001,MSFT,0
107525,20130424,273,0.194264,MSFT,0
107525,20130424,365,0.204273,MSFT,0
107525,20130424,547,0.20976,MSFT,0
107525,20130424,730,0.225384,MSFT,0
107525,20130424,1825,0.314925,MSFT,0
107525,20130425,10,0.299944,MSFT,0
107525,20130425,14,0.289806,MSFT,0
107525,20130425,30,0.3029,MSFT,0
107525,20130425,60,0.225848,MSFT,0
107525,20130425,91,0.204013,MSFT,0
107525,20130425,122,0.200852,MSFT,0
107525,20130425,152,0.197425,MSFT,0
107525,20130425,182,0.208079,MSFT,0
107525,20130425,273,0.193947,MSFT,0
107525,20130425,365,0.204164,MSFT,0
107525,20130425,547,0.209676,MSFT,0
107525,20130425,730,0.224879,MSFT,0
107525,20130425,1825,0.314809,MSFT,0
107525,20130426,10,0.316795,MSFT,0
107525,20130426,14,0.289355,MSFT,0
107525,20130426,30,0.305076,MSFT,0
107525,20130426,60,0.222615,MSFT,0
107525,20130426,91,0.20406,MSFT,0
107525,20130426,122,0.199986,MSFT,0
107525,20130426,152,0.196704,MSFT,0
107525,20130426,182,0.207691,MSFT,0
107525,20130426,273,0.192684,MSFT,0
107525,20130426,365,0.204201,MSFT,0
107525,20130426,547,0.208795,MSFT,0
107525,20130426,730,0.224859,MSFT,0
107525,20130426,1825,0.314691,MSFT,0
107525,20130429,10,0.31671,MSFT,0
107525,20130429,14,0.288328,MSFT,0
