secid,date,cp_flag,index_flag,ticker,volume,open_interest
107525,20130319,P,0,MSFT,30937,923104
107525,20130320,,0,MSFT,72618,2726124
107525,20130320,C,0,MSFT,40327,1791846
107525,20130320,P,0,MSFT,32291,934278
107525,20130321,,0,MSFT,86059,2752585
107525,20130321,C,0,MSFT,32657,1803497
107525,20130321,P,0,MSFT,53402,949088
107525,20130322,,0,MSFT,69616,2769011
107525,20130322,C,0,MSFT,46103,1811618
107525,20130322,P,0,MSFT,23513,957393
107525,20130325,,0,MSFT,52742,2750006
107525,20130325,C,0,MSFT,24184,1809260
107525,20130325,P,0,MSFT,28558,940746
107525,20130326,,0,MSFT,30373,2767352
107525,20130326,C,0,MSFT,18763,1816530
107525,20130326,P,0,MSFT,11610,950822
107525,20130327,,0,MSFT,48859,2780516
107525,20130327,C,0,MSFT,27826,1826794
107525,20130327,P,0,MSFT,21033,953722
107525,20130328,,0,MSFT,75202,2789959
107525,20130328,C,0,MSFT,50917,1835132
107525,20130328,P,0,MSFT,24285,954827
107525,20130401,,0,MSFT,61682,2790372
107525,20130401,C,0,MSFT,41381,1839127
107525,20130401,P,0,MSFT,20301,951245
107525,20130402,,0,MSFT,71130,2816616
107525,20130402,C,0,MSFT,34054,1858403
107525,20130402,P,0,MSFT,37076,958213
107525,20130403,,0,MSFT,79422,2835985
107525,20130403,C,0,MSFT,34600,1864100
107525,20130403,P,0,MSFT,44822,971885
107525,20130404,,0,MSFT,54269,2857936
107525,20130404,C,0,MSFT,28509,1866595
107525,20130404,P,0,MSFT,25760,991341
107525,20130405,,0,MSFT,66064,2877098
107525,20130405,C,0,MSFT,42370,1877440
107525,20130405,P,0,MSFT,23694,999658
107525,20130408,,0,MSFT,67956,2862445
107525,20130408,C,0,MSFT,25946,1869130
107525,20130408,P,0,MSFT,42010,993315
107525,20130409,,0,MSFT,318402,2873108
107525,20130409,C,0,MSFT,216490,1874068
107525,20130409,P,0,MSFT,101912,999040
107525,20130410,,0,MSFT,532666,2976924
107525,20130410,C,0,MSFT,299524,1921772
107525,20130410,P,0,MSFT,233142,1055152
107525,20130411,,0,MSFT,419282,3176275
107525,20130411,C,0,MSFT,158540,1994249
107525,20130411,P,0,MSFT,260742,1182026
107525,20130412,,0,MSFT,173187,3300988
