secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
108105,20130801,182,55,0.147578,1676.168,77.86449,0.009619,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,60,0.153221,1652.637,93.1693,0.010929,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,65,0.160075,1626.52,111.6265,0.012232,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,70,0.167597,1597,133.6991,0.012943,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,75,0.174607,1563.708,159.4535,0.013283,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,80,0.180665,1525.918,189.6958,0.013297,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-80,0.121051,1858.495,190.9726,0.006753,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-75,0.125146,1829.983,169.4538,0.006776,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-70,0.129361,1803.769,151.2819,0.006954,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-65,0.133727,1778.623,135.3469,0.007252,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-60,0.138311,1753.771,121.0383,0.007646,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-55,0.143168,1728.602,107.9541,0.008102,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-50,0.148357,1702.571,95.81541,0.00865,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-45,0.153999,1675.13,84.45333,0.009356,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-40,0.16022,1645.633,73.72682,0.010203,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-35,0.16701,1613.322,63.45036,0.011144,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-30,0.174466,1577.242,53.52614,0.012649,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-25,0.183372,1535.633,44.05421,0.015708,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,-20,0.195,1485.201,35.0683,0.021091,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,20,0.127055,1856.445,19.97782,0.006194,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,25,0.130656,1826.832,27.34761,0.006586,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,30,0.134609,1799.71,35.8236,0.006985,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,35,0.138893,1773.748,45.5477,0.007416,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,40,0.143498,1748.05,56.6955,0.007905,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,45,0.148445,1721.947,69.49059,0.00844,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,50,0.15377,1694.855,84.22055,0.009036,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,55,0.15959,1666.183,101.2987,0.009799,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,60,0.166015,1635.24,121.2651,0.010685,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,65,0.172926,1601.245,144.6747,0.011564,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,70,0.180083,1563.39,172.1625,0.01232,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,75,0.187026,1520.86,204.4242,0.012484,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,273,80,0.192926,1472.882,242.1999,0.011741,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-80,0.125334,1893.182,234.9376,0.007143,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-75,0.129369,1857.708,207.6543,0.007265,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-70,0.133714,1825.706,185.0889,0.007491,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-65,0.13829,1795.293,165.4915,0.007725,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-60,0.143059,1765.346,147.8998,0.008025,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-55,0.148078,1735.132,131.815,0.008433,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-50,0.153436,1704.022,116.9189,0.008961,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-45,0.159244,1671.373,102.9885,0.009643,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-40,0.165605,1636.447,89.83101,0.010455,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-35,0.172506,1598.392,77.22675,0.011445,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-30,0.180134,1556.109,65.10072,0.013131,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-25,0.189342,1507.577,53.57358,0.016272,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,-20,0.201292,1449.22,42.63016,0.021468,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,20,0.132706,1888.285,23.9116,0.007086,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,25,0.136123,1851.496,32.63367,0.007375,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,30,0.140006,1818.199,42.65242,0.007767,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,35,0.144341,1786.63,54.15113,0.008183,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,40,0.149054,1755.557,67.32468,0.008587,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,45,0.154121,1724.117,82.419,0.009015,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,50,0.159587,1691.604,99.77097,0.009575,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,55,0.165579,1657.317,119.8626,0.010388,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,60,0.17219,1620.44,143.3051,0.011391,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,65,0.179286,1580.065,170.7252,0.012425,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,70,0.186547,1535.295,202.7862,0.013168,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,75,0.193358,1485.337,240.1227,0.013056,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,365,80,0.198879,1429.388,283.5577,0.011997,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-80,0.131475,1960.265,317.3858,0.007566,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-75,0.135469,1911.382,278.7052,0.00798,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-70,0.139969,1868.498,247.5557,0.008218,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-65,0.144692,1828.273,220.7293,0.00829,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-60,0.149549,1789.037,196.7233,0.008468,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-55,0.154659,1749.872,174.9086,0.008834,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-50,0.160138,1709.955,154.8399,0.009333,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-45,0.166065,1668.44,136.139,0.009953,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-40,0.172533,1624.432,118.5268,0.010744,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-35,0.179698,1576.871,101.8122,0.011843,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-30,0.187852,1524.323,85.88327,0.013526,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-25,0.197506,1464.605,70.66781,0.01632,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,-20,0.209437,1394.16,56.06155,0.021213,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,20,0.14037,1944.42,30.50483,0.006463,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,25,0.143628,1894.835,41.49523,0.007018,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,30,0.147515,1850.633,54.10796,0.007563,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,35,0.151922,1809.124,68.5538,0.008007,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,40,0.156682,1768.521,85.03457,0.008415,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,45,0.161784,1727.715,103.8446,0.008966,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,50,0.167379,1685.849,125.4501,0.00974,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,55,0.173633,1641.983,150.4787,0.010704,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,60,0.180648,1595.008,179.7068,0.01181,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,65,0.188328,1543.692,213.9733,0.012781,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,70,0.19605,1486.989,253.8379,0.01301,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,75,0.202797,1424.298,299.6277,0.012212,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,547,80,0.207924,1354.628,352.5912,0.010783,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-80,0.140807,2046.343,415.1038,0.010178,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-75,0.145094,1981.473,362.6537,0.009883,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-70,0.149359,1924.404,319.6104,0.009582,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-65,0.153753,1871.822,282.8617,0.009554,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-60,0.158456,1821.792,250.764,0.009786,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-55,0.163535,1772.75,222.0847,0.010171,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-50,0.169024,1723.423,195.9458,0.010656,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-45,0.174964,1672.712,171.7451,0.011227,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-40,0.181415,1619.543,149.0536,0.011899,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-35,0.188488,1562.739,127.5808,0.012762,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-30,0.196422,1500.804,107.1658,0.014084,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-25,0.205657,1431.521,87.71436,0.016315,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,-20,0.216728,1351.477,69.06316,0.020022,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,20,0.148729,2005.271,36.80389,0.008411,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,25,0.15216,1942.778,50.01171,0.008624,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,30,0.156055,1887.034,65.06592,0.00897,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,35,0.160497,1835.111,82.25228,0.009424,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,40,0.165419,1784.828,101.8596,0.009956,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,45,0.170788,1734.652,124.2401,0.010597,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,730,50,0.176653,1683.398,149.877,0.011319,C,64881510,SPX,9999,1,32768,,A,
